source_row,specimen_number,species,common_name,material,stain,plane,section_thickness_micrometers,number_of_slides,number_of_sections,collection_group,continuation_note
609,583,Felis domestica,Cat,Brain,Cajal silver,Transverse,,117,1100,MAMMALS,
610,584,Felis domestica,Cat,Brain,Pyr. silver,Transverse,15,123,1500,MAMMALS,
611,585,Felis domestica,Cat,Brain,Pyr. silver,Transverse,,300,1573,MAMMALS,
612,586,Felis domestica,Cat,Brain,Pyr. silver,Transverse,20,262,1895,MAMMALS,
613,587,Felis domestica,Cat,Brain,Pyr. silver,Transverse,40,175,1625,MAMMALS,
614,588,Felis domestica,Cat,Brain,Pyr. silver,Horizontal,20,64,611,MAMMALS,
615,589,Felis domestica,Cat,Brain,Pyr. silver,Sagittal,20,45,526,MAMMALS,
616,590,Felis domestica,Cat,Brain,Pyr. silver,Sagittal,,502,1375,MAMMALS,
617,591,Felis domestica,Cat,Spinal cord,Tol. blue,Transverse,50,63,3235,MAMMALS,(6 weeks old )
618,592,Felis domestica,Cat,Spinal cord,Tol. blue,Transverse,50,150,3457,MAMMALS,
619,593,Felis domestica,Cat,Spinal cord,Tol. blue,Longitudinal,50,50,257,MAMMALS,(6 weeks old )
620,594,Felis domestica,Cat,Spinal cord,Tol. blue,Longitudinal,50,120,536,MAMMALS,
621,595,Felis domestica,Cat,Spinal cord,Tol. blue,Longitudinal,30,114,530,MAMMALS,
622,596,Felis leo,,Brain,Pal. - Weigert,Transverse,35,290,435,MAMMALS,
623,597,Sus scrofa,Pig,Brain,Cresyl violet,Transverse,10,42,633,MAMMALS,(28 mm. embr.)
624,598,Sus scrofa,Pig,Brain,Cresyl violet,Transverse,10,42,977,MAMMALS,(28 mm. embr.)
625,599,Sus scrofa,Pig,Brain,Cresyl violet,Transverse,10,15,312,MAMMALS,(35 mm. embr.)
626,600,Sus scrofa,Pig,Brain,Cresyl violet,Transverse,15,29,862,MAMMALS,(40 mm. embr.)
627,601,Sus scrofa,Pig,Brain,Cresyl violet,Transverse,10,35,761,MAMMALS,(42 mm. embr.)
628,602,Sus scrofa,Pig,Brain,Cresyl violet,Transverse,15,35,927,MAMMALS,(50 mm. embr.)
629,603,Sus scrofa,Pig,Brain,Cresyl violet,Transverse,20,36,729,MAMMALS,(65 mm. embr.)
630,604,Sus scrofa,Pig,Brain,Cresyl violet,Transverse,25,36,572,MAMMALS,(70 mm. embr.)
631,605,Sus scrofa,Pig,Brain,Cresyl violet,Transverse,25,45,,MAMMALS,(70 mm. embr.)
632,606,Sus scrofa,Pig,Brain,Tol. blue,Transverse,15,174,2051,MAMMALS,(16 cm. embr.)
633,607,Sus scrofa,Pig,Brain,Tol. blue,Transverse,25,260,1229,MAMMALS,(25 cm. embr.)
634,608,Sus scrofa,Pig,Brain,Tol. blue,Transverse,20,416,2318,MAMMALS,
635,609,Ailuropoda melanoleuca,Giant Panda,Brain,Altern. Weil & Cres. violet,Transverse,30,2582,3852,MAMMALS,
636,610,Macropus sp.,Kangaroo,Brain,Tol. blue & Weil,Transverse,20,438,2951,MAMMALS,
637,611,Didelphis aurita,,Brain,Tol. blue,Transverse,25,35,517,MAMMALS,
638,612,Ornithorhynchus anatinus,Platypus,Brain,Altern. Weil & Cres. violet,Transverse,25,199,1288,MAMMALS,
639,613,,Porcupine,Brain,Cresyl. violet,Transverse,25,613,2445,MAMMALS,
640,713,Tupaia (?),Fisher (??),Brain,Pyr. silver,Transverse,25,235,246,MAMMALS,
641,614,Tarsius spectrum,"Spectral, Celebesian, or Eastern tarsier",Brain,Weil. & Tol. blue,Transverse,25,80,886,MAMMALS,
642,725,Tupaia,,Brain,Weil & Cres. violet,Transverse,25,25,280,MAMMALS,
643,726,Nycticebus,,Brain,CV & Lux.Cr.Violet,Transverse,25,187,898,MAMMALS,
644,615,Macaca mulatta,Macaque,Brain,Cresyl. violet,Transverse,,1390,1390,MAMMALS,
645,616,Macaca mulatta,Macaque,Brain,Tol. blue,Transverse,,570,1149,MAMMALS,
646,617,Macaca mulatta,Macaque,Brain,Weil.,Transverse,,2180,4835,MAMMALS,
647,618,Macaca mulatta,Macaque,Brain,Weil.,Transverse,,1712,2365,MAMMALS,
648,619,Macaca mulatta,Macaque,Brain,Weil.,Transverse,,1612,1753,MAMMALS,
649,627,Macaca mulatta,Macaque,Brain,Weil & Cresyl. violet,Transverse,,1438,2176,MAMMALS,
650,628,Macaca mulatta,Macaque,Brain,Weil & Thion.,Transverse,25,1438,1503,MAMMALS,
651,634,Macaca mulatta,Macaque,Brain,Pyr. silver,Transverse,,780,1814,MAMMALS,(stillborn fetus)
652,700,Macaca mulatta,Macaque,Spinal cord,Thion.,Transverse,25,197,5955,MAMMALS,
653,620,Sus scrofa,Pig,Brain,Cresyl. violet,Transverse,,62,873,MAMMALS,( 20 mm. embr. )
654,621,Sus scrofa,Pig,Brain,Cresyl. violet,Transverse,,70,1140,MAMMALS,( 25 mm. embr. )
