Genus;Species;Location;Subject;Sex;Age;#insertions;Notes on insertions;#bouts;HI;AbsHI;z-score;Category;References;General notes;Clade
Cercopithecus;neglectus;Duisburg;male_2;m;juvenile;70;NA;36;0.171;0.17;1.434274331;ambipreferent;this study;;Cercopithecoidea
Cercopithecus;neglectus;Duisburg;Cuthbert;m;adult;31;NA;28;1;1;5.567764363;right;this study;;Cercopithecoidea
Cercopithecus;neglectus;Duisburg;Mala;f;adult;55;NA;15;0.345;0.35;2.561959477;right;this study;;Cercopithecoidea
Cercopithecus;neglectus;Hanover;Clochette;f;adult;38;NA;15;0.895;0.89;5.515528318;right;this study;;Cercopithecoidea
Cercopithecus;neglectus;Hanover;Tewa;f;adult;31;NA;23;-0.226;0.23;-1.257237114;ambipreferent;this study;;Cercopithecoidea
Cercopithecus;neglectus;Hanover;Barca;m;adult;69;NA;27;-0.362;0.36;-3.009646327;left;this study;;Cercopithecoidea
Gorilla;gorilla;see Hopkins et al., 2011;Banga;f;adult;NA;# insertions > 30;NA;0.853658537;0.853658537;5.466081666;right;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;Choomba;f;adult;NA;# insertions > 30;NA;0.67032967;0.67032967;6.394537504;right;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;Debbie;f;adult;NA;# insertions > 30;NA;0.154471545;0.154471545;1.713172306;ambipreferent;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;Helen;f;adult;NA;# insertions > 30;NA;0.31147541;0.31147541;3.44035835;right;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;Kuchi;f;adult;NA;# insertions > 30;NA;-0.18699187;0.18699187;-2.07384016;left;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;Machi;f;adult;NA;# insertions > 30;NA;-0.220338983;0.220338983;-2.393494007;left;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;Paki;f;adult;NA;# insertions > 30;NA;0.838383838;0.838383838;8.341813867;right;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;Shamba;f;adult;NA;# insertions > 30;NA;1;1;6.557438524;right;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;Haloko;f;adult;NA;# insertions > 30;NA;0.850746269;0.850746269;6.963658328;right;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;Mandara;f;adult;NA;# insertions > 30;NA;0.709090909;0.709090909;5.258758927;right;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;josephin;f;adult;NA;# insertions > 30;NA;-0.13;0.13;-1.4;ambipreferent;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;samantha;f;adult;NA;# insertions > 30;NA;0.01;0.01;0.11;ambipreferent;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;Becky;f;adult;NA;# insertions > 30;NA;-0.678571429;0.678571429;-8.795290948;left;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;Bulera;f;adult;NA;# insertions > 30;NA;0.960784314;0.960784314;6.861372412;right;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;Kowali;f;adult;NA;# insertions > 30;NA;0.25;0.25;1.870828693;ambipreferent;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;Omega;f;adult;NA;# insertions > 30;NA;0.957894737;0.957894737;16.17112436;right;Hopkins et al., 2011;;Hominoidea
Gorilla;gorilla;see Hopkins et al., 2011;colo;f;adult;NA;# insertions > 30;NA;0.13;0.13;0.71;ambipreferent;Hopkins et al., 2011;;Hominoidea
